 ,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Median
1,12025,49.461,76.512,0,0,255,241.500,36.500,236.476,43.867,6
2,364384,88.046,71.582,2,0,255,638,357,772.624,370.747,75
3,80955,227.761,53.992,255,0,255,311.500,694.500,314.593,693.973,248
4,78477,210.788,79.122,255,0,255,630.500,689.500,630.554,681.825,248
5,80264,232.891,53.756,255,0,255,956,694,958.030,692.975,250
6,57645,229.093,60.381,255,0,255,311.500,929.500,312.167,930.307,252
7,58900,225.651,58.744,255,0,255,628,929,625.889,929.050,252
8,55328,211.863,66.660,255,0,255,951,933,949.120,932.495,247
