 ,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Median
1,26130,213.899,65.018,255,67,255,358,89.500,373.158,89.253,254
2,201432,91.703,40.192,121,1,252,467,348.500,442.614,327.490,90
3,76629,205.554,64.613,255,1,255,937.500,334.500,950.307,329.440,238
4,119770,198.241,62.298,251,1,255,477,646.500,471.815,632.642,226
5,28222,220.603,64.645,255,3,255,320,830.500,331.558,829.487,254
6,29536,213.657,74.718,255,0,255,630,834,637.330,831.790,254
7,29767,207.884,77.035,255,0,255,939.500,830.500,953.802,829.955,253
8,33040,216.897,68.481,255,0,255,324.500,960,333.801,959.918,254
9,33048,220.645,65.718,255,0,255,632,965,641.859,964.466,254
