 ,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Median
1,12549,208.983,51.800,254,124,255,320.500,58.500,319.029,58.558,246
2,384300,200.610,67.254,255,0,255,634,363.500,632.179,358.542,242
3,15325,147.632,26.274,139,121,247,497.500,600.500,487.921,600.492,139
4,108672,236.152,51.855,255,0,255,335.500,826,337.323,828.409,254
5,66638,232.046,56.492,255,0,255,649,752.500,649.330,753.652,254
6,5402,182.354,99.688,255,0,255,588,970.500,587.154,969.970,251
7,33280,241.475,42.121,255,37,255,951,648,952.864,649.039,255
8,77585,238.357,47.762,255,0,255,949.500,876.500,950.942,878.194,254
