 ,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Median
1,11802,209.010,71.681,255,53,255,320.500,39,323.276,38.074,253
2,322560,166.821,25.943,151,65,253,639,257,672.978,258.770,160
3,51230,193.268,71.672,252,0,255,285,606.500,285.669,611.109,234
4,50380,173.918,85.645,93,0,255,520,608.500,519.978,614.259,233
5,49880,205.126,69.654,254,0,255,759.500,608,760.473,613.763,239
6,51968,223.387,60.281,255,0,255,995,609,996.279,611.265,247
7,12948,232.419,49.706,255,44,255,324.500,807,327.880,807.091,254
8,12595,223.942,56.441,255,43,255,621.500,808.500,623.856,808.294,253
9,15921,226.756,54.461,255,41,255,937.500,807.500,939.556,807.153,253
