 ,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Median
1,13545,208.625,64.266,255,48,255,257.500,44.500,258.801,43.861,248
2,5628,231.880,37.684,255,83,255,917,22,916.617,21.857,251
3,7436,230.132,40.661,255,94,255,839,64.500,839.569,64.360,249
4,25126,237.508,37.168,254,89,255,518.500,112,518.942,111.855,249
5,7557,247.291,18.535,255,62,255,1017.500,112.500,1018.296,112.448,252
6,11700,234.729,40.285,255,93,255,262.500,187,262.907,186.939,253
7,186325,78.060,76.869,19,0,255,507.500,365.500,526.078,373.202,44
8,52020,225.835,45.685,243,34,255,1010,364.500,1010.157,363.841,242
9,29400,213.932,81.855,254,0,255,508.500,525,509.295,524.708,251
10,8748,227.754,78.556,255,0,255,513.500,553,513.318,552.402,255
11,26412,228.114,65.830,255,0,255,1011.500,573,1013.570,573.805,255
12,87020,210.832,63.869,255,0,255,261.500,746,262.124,759.030,251
13,91298,205.114,81.155,255,0,255,508.500,749,508.755,764.988,252
14,90860,193.402,84.175,255,0,255,758,748.500,759.055,776.442,252
15,9890,226.146,68.363,255,0,255,1011.500,696,1013.798,696.028,254
16,16310,139.036,82.054,255,0,255,260.500,989,264.066,986.080,139
17,14430,111.416,70.249,253,0,255,508,991.500,507.601,992.229,97
18,14464,97.159,96.415,5,0,255,754,992,757.262,993.147,42
19,53300,245.087,31.108,255,28,255,1011.500,894,1013.685,894.312,255
