 ,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Median
1,9976,121.292,58.939,101,21,255,242,59,243.500,59.488,99
2,91307,217.129,56.205,239,0,255,492.500,178.500,495.470,179.025,239
3,3275,205.035,58.004,239,56,255,218.500,289.500,218.893,289.661,238
4,56160,147.593,59.241,239,0,255,258,454,257.566,466.565,132
5,55544,145.586,73.587,239,0,255,499,451,497.715,465.382,145
6,53550,182.603,58.687,255,0,255,737,448.500,738.618,452.182,186
7,51792,147.463,62.096,239,0,255,258,744.500,260.651,750.913,139
8,51865,136.125,75.028,239,0,255,495.500,746.500,488.624,759.150,121
9,56064,137.117,66.475,239,0,255,735.500,741,729.315,752.820,120
10,26334,125.709,74.847,255,0,255,257.500,961,260.590,961.867,122
11,27432,182.085,61.792,239,0,255,496,960.500,491.405,957.504,209
12,26780,93.555,59.891,254,0,255,739,959,738.673,948.986,81
13,62176,225.343,36.314,239,63,255,951,545,952.008,546.400,239
14,44352,227.415,33.988,239,65,255,996,925,997.114,925.460,239
