 ,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Median
1,6148,218.980,76.655,255,0,255,296,70.500,298.369,71.268,254
2,184008,142.454,67.405,0,0,255,220,340,214.472,306.235,141
3,62073,95.718,67.663,255,0,255,254.500,693.500,247.978,678.760,86
4,50434,174.904,55.725,255,0,255,256,882.500,247.853,883.958,188
5,124912,81.728,72.666,255,0,255,553,306,558.347,249.689,56
6,135000,82.090,84.144,0,0,255,554,739,555.352,778.236,45
7,18768,30.519,75.304,0,0,255,771,164,756.558,135.625,0
8,26792,221.159,77.296,255,0,255,920,121.500,920.536,121.457,255
9,40296,56.069,60.905,10,0,255,849,306,847.955,307.651,49
10,119520,119.757,74.707,0,0,255,845,587.500,839.649,534.885,122
11,47232,85.239,100.241,0,0,255,849,879,790.201,876.809,12
12,16016,202.113,89.927,255,0,255,588,987,566.356,987.986,254
