 ,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Median
1,8601,49.830,71.008,22,0,255,240.500,28.500,241.178,29.126,21
2,432285,134.019,27.677,128,5,255,634.500,236.500,638.353,235.031,128
3,54600,228.569,47.389,250,32,255,343,533,346.098,533.478,245
4,38368,206.676,61.722,244,0,255,360,670,369.364,669.859,242
5,59250,221.970,59.455,243,0,255,876.500,529,876.511,529.939,244
6,37710,203.158,65.222,243,0,255,886.500,667,893.417,666.919,241
7,85885,218.541,58.762,238,0,255,627.500,802.500,626.851,802.461,239
8,21528,35.249,51.598,19,0,255,205,955,212.711,949.514,19
9,26730,38.969,54.303,19,0,255,499,954.500,501.410,946.063,19
10,25785,38.443,53.623,19,0,255,746.500,956.500,755.001,947.720,19
11,27811,46.034,54.845,20,0,255,998.500,955.500,1002.720,948.802,29
