 ,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Median
1,6050,223.511,53.869,255,56,255,192,32.500,192.415,31.268,252
2,31043,222.968,76.358,255,0,255,715.500,44.500,716.191,45.067,255
3,217140,227.564,49.357,245,0,255,461,252.500,465.488,253.435,245
4,72413,162.905,63.609,231,8,255,969.500,248.500,969.804,262.928,162
5,494988,142.528,81.866,245,0,255,635,686,571.358,678.886,148
6,42398,230.703,55.109,255,0,255,380.500,981,380.159,981.275,250
7,43935,221.308,52.641,254,0,255,882.500,980.500,876.691,979.144,239
