 ,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Median
1,70740,208.730,75.737,249,0,255,377.500,156,381.314,157.145,248
2,25803,201.312,66.429,255,0,255,277.500,387.500,277.939,390.135,235
3,26245,186.011,79.064,255,0,255,481.500,388.500,478.952,393.205,224
4,41736,227.457,57.881,255,0,255,736,388.500,734.982,389.088,253
5,56610,209.007,63.472,255,0,255,990.500,466,992.133,468.257,249
6,25900,164.411,58.462,255,0,255,276.500,548,276.978,553.289,167
7,89936,218.237,46.518,255,0,255,530,628,529.905,627.176,232
8,28917,150.542,92.995,255,0,255,785.500,549.500,792.290,565.183,156
9,26827,219.808,61.834,255,0,255,273.500,706.500,277.580,707.204,253
10,54905,210.625,69.244,255,0,255,888.500,708.500,888.236,711.705,235
11,48714,237.624,39.849,255,88,255,628,882.500,628.041,883.357,254
