 ,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Median
1,46176,236.415,46.284,252,31,255,490,31,488.788,31.002,252
2,5110,245.822,21.571,255,144,255,1181,28.500,1181.331,28.552,255
3,78480,217.258,58.282,251,0,255,113,244,113.609,243.904,251
4,37525,231.187,63.868,255,0,255,433.500,122.500,434.874,122.464,255
5,55680,226.816,55.892,247,0,255,387,372,388.637,372.575,247
6,99459,211.820,81.057,255,0,255,723.500,385.500,724.656,376.410,254
7,91260,111.474,50.521,90,72,255,589,595,587.752,599.168,90
8,123233,228.282,58.800,255,0,255,603.500,780.500,608.391,782.350,254
9,64020,238.552,42.722,255,70,255,605,948.500,615.352,948.722,255
