 ,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Median
1,28905,205.746,95.138,255,0,255,449.500,49.500,458.483,48.992,255
2,12685,226.595,51.100,232,0,255,1022.500,38.500,1022.051,38.560,234
3,177018,110.046,67.166,143,0,255,385.500,297,346.668,281.326,137
4,58240,104.063,52.443,96,0,255,715,297,724.330,301.034,96
5,57876,149.304,54.811,217,0,255,879.500,296,877.181,281.458,152
6,58806,71.095,60.234,12,0,255,1045,295.500,1041.030,276.910,59
7,29370,190.353,46.887,222,0,254,634.500,508,593.711,507.995,222
8,89304,235.237,53.631,255,0,255,514,631,521.058,630.585,255
9,69090,193.321,79.315,255,0,255,256.500,877,257.958,889.514,249
10,69204,171.594,95.936,255,0,255,629.500,878,630.850,894.329,245
11,34040,153.331,79.261,0,0,255,1036.500,646,1033.566,657.176,175
12,31860,135.010,66.338,0,0,255,1037,832.500,1032.997,826.129,141
13,16815,47.142,82.572,0,0,255,1038.500,976.500,1044.889,978.080,1
