 ,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Median
1,69160,64.038,59.771,255,0,255,628,38,640.068,32.682,52
2,29835,63.808,34.588,51,25,234,204.500,191.500,198.330,191.355,51
3,316566,106.083,83.131,255,0,255,715,273.500,730.061,258.076,82
4,149744,99.921,66.014,47,1,255,521,676,509.701,652.072,62
5,41652,77.094,55.541,48,0,255,895,537.500,880.857,530.683,50
6,41300,84.270,58.699,48,0,255,895,673,873.766,665.834,52
7,50220,81.213,59.655,47,1,255,905,816.500,883.428,807.896,48
8,20916,57.681,39.408,36,0,236,457.500,982,444.402,983.418,44
9,19276,78.253,49.124,37,0,255,714,984.500,711.102,981.732,71
10,20667,123.600,70.775,36,0,254,971.500,982.500,981.435,985.696,121
