 ,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Median
1,22495,235.948,50.189,255,54,255,473.500,37.500,479.729,37.234,255
2,123480,155.865,57.803,144,0,255,475,237,476.991,244.900,144
3,11648,214.580,82.051,255,0,255,446,440,446.850,441.221,253
4,62345,202.646,52.092,255,32,255,361.500,648.500,360.208,656.211,213
5,60681,165.803,87.917,255,1,255,579.500,647.500,580.188,663.184,185
6,28210,118.960,102.154,255,0,255,363,946.500,367.716,928.270,78
7,27664,216.299,37.200,255,41,255,581,948,582.067,945.585,224
