 ,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Median
1,16445,197.740,70.156,255,54,255,312.500,44.500,322.562,44.717,248
2,143184,161.139,90.476,210,0,255,632,169,683.315,168.342,206
3,372485,114.817,61.121,180,0,255,635.500,450.500,684.492,452.448,118
4,52614,167.458,110.237,255,0,255,272,788.500,272.446,768.506,255
5,56726,97.167,58.619,128,0,255,513,778.500,512.814,782.373,128
6,57937,88.647,53.914,107,0,255,754.500,777.500,751.607,777.922,107
7,55527,190.807,107.164,255,0,255,994.500,779.500,995.972,779.133,255
8,23192,69.611,56.036,117,0,254,272.500,969,270.392,969.286,113
9,24300,74.028,42.822,94,0,255,513.500,970,511.954,967.540,94
10,23850,130.210,80.914,179,0,255,753.500,971,752.174,968.355,179
11,24743,77.169,64.559,114,0,255,995.500,969.500,995.921,964.993,114
