 ,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Median
1,16146,219.334,39.839,246,0,255,297.500,57,302.057,56.941,243
2,6555,234.776,25.332,246,137,255,297.500,100.500,297.596,100.527,246
3,184548,151.637,92.072,255,0,255,382.500,323,368.151,279.360,165
4,187537,81.229,57.184,73,0,255,894.500,322.500,902.218,306.160,69
5,47684,175.567,82.349,237,0,255,255,597,253.577,583.082,228
6,47244,155.613,85.358,0,0,255,511,598,498.678,584.517,189
7,47288,121.445,75.828,49,0,255,766.500,600,763.542,590.560,116
