 ,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Median
1,6052,90.831,16.712,98,8,127,321,12.500,321.002,12.388,98
2,25344,100.963,29.000,98,48,239,364,82,361.017,80.477,96
3,17252,114.601,44.757,98,9,255,981.500,76,986.484,75.951,98
4,20050,88.388,31.124,81,52,230,546,150.500,545.156,150.651,79
5,5600,167.519,80.326,248,11,255,1042,151.500,1043.139,150.362,197
6,283640,128.116,71.526,246,0,254,631.500,310,680.747,291.030,132
7,10200,234.382,45.110,255,78,255,275.500,526,275.400,525.918,253
8,42636,242.698,31.302,255,11,255,254.500,664,255.183,664.031,255
9,47053,161.850,100.414,255,0,255,474.500,674.500,475.346,698.012,193
10,37053,201.373,60.606,255,1,255,694.500,654.500,690.776,658.946,225
11,111741,239.810,38.749,255,0,255,963.500,734.500,963.577,736.309,251
12,40492,164.444,83.047,255,0,255,257,928.500,257.700,943.704,165
13,40579,163.394,94.469,255,0,255,475.500,930.500,469.281,942.769,187
14,39804,147.918,88.141,255,0,255,696,931,696.154,951.505,124
15,31209,241.301,49.057,255,0,255,965.500,973.500,968.178,974.856,255
