 ,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Median
1,7672,87.548,92.813,255,0,255,206.500,30,206.760,32.820,42
2,429678,133.363,72.581,254,0,255,631.500,322,623.829,282.950,150
3,86140,194.457,69.593,254,0,255,307,753.500,315.481,745.917,227
4,79240,211.444,46.063,255,0,255,633,748.500,642.999,744.720,227
5,89610,150.233,84.262,255,0,255,954,751.500,968.631,726.115,182
6,24568,217.829,57.798,255,0,255,335,985,338.695,982.691,247
7,11914,221.857,60.214,244,0,255,630.500,987,632.900,987.397,244
8,23253,214.587,55.204,255,0,255,925.500,989.500,931.423,987.632,225
