 ,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Median
1,16640,95.812,80.399,251,24,254,354,54,353.072,51.171,57
2,8960,60.828,65.176,30,14,252,939,46,942.263,48.863,34
3,22011,82.220,68.751,173,14,251,630.500,122.500,652.220,121.411,44
4,60600,173.357,23.853,173,15,251,551,202.500,550.917,202.414,173
5,14688,60.061,40.859,46,16,251,930,205,924.063,206.740,49
6,60490,83.863,43.337,66,0,251,534,326.500,510.481,325.587,66
7,23868,184.209,54.010,222,3,253,933,343.500,933.772,346.865,213
8,58912,85.203,46.836,66,0,255,531,467,509.553,466.156,66
9,24640,169.361,74.250,222,3,255,933,496,934.772,502.354,216
10,61640,99.892,65.404,66,10,255,541,611.500,500.922,613.606,66
11,27924,170.175,66.694,222,1,252,933,664.500,933.330,672.055,209
12,53340,70.670,39.647,66,1,255,527,754.500,535.674,751.750,66
13,15700,190.510,52.964,222,6,255,931.500,807,933.741,809.194,221
14,55105,79.182,41.881,66,1,249,540.500,894.500,533.804,892.356,66
15,9139,105.004,65.346,66,42,250,391.500,1005.500,383.400,1005.683,67
