 ,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Median
1,11799,71.503,66.963,41,10,255,363.500,19.500,352.568,19.791,41
2,16352,136.017,76.850,70,21,255,257,91.500,243.945,90.488,109
3,284102,109.407,63.502,254,0,255,474.500,372,474.678,359.549,94
4,110374,166.826,90.435,255,0,255,468,697.500,463.485,699.574,201
5,73600,186.812,88.899,255,0,255,314,909,323.711,917.373,250
6,72867,141.174,95.710,255,0,255,637.500,910.500,648.758,880.568,173
7,10500,130.584,50.770,112,41,255,956,170.500,956.041,171.789,112
8,57974,108.771,92.928,238,0,255,952.500,306,945.579,291.948,50
9,52338,134.560,73.223,238,0,255,948,517.500,956.931,512.356,125
10,54040,130.195,76.991,238,0,255,945,723.500,931.253,716.092,102
11,50120,100.291,78.509,238,0,255,946,931.500,940.783,916.458,72
