 ,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Median
1,16640,186.876,88.699,255,0,255,225,50,226.539,56.921,249
2,146952,243.392,26.430,255,91,255,530,309,529.806,308.631,254
3,81144,240.319,36.601,255,0,255,519,714,520.080,713.558,255
4,6574,133.916,26.520,130,55,248,815.500,979,815.381,979.028,130
5,15540,220.177,38.246,239,111,253,1029.500,122,1029.154,121.644,239
6,27974,222.036,36.813,239,103,254,1032,375.500,1031.771,376.529,239
7,23450,222.980,35.510,239,95,254,1034,624.500,1033.930,624.893,239
8,23668,223.348,35.947,239,104,254,1035,864,1035.082,864.285,239
