 ,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Median
1,8016,134.583,42.664,109,60,253,222.500,87,223.958,88.442,118
2,6660,231.682,37.671,254,130,255,271,175,270.650,174.638,252
3,102960,79.879,72.511,38,0,255,272,425,275.367,402.375,49
4,99864,119.689,75.667,38,0,255,511,423,502.770,381.194,119
5,103635,129.088,78.455,38,0,255,751.500,423.500,755.428,399.729,127
6,102960,157.557,81.783,38,0,255,992,422,992.576,389.418,201
7,89147,131.845,65.621,255,0,255,273.500,835.500,276.936,829.101,144
8,86184,114.094,73.031,38,0,255,513,835,510.333,814.224,103
9,90240,126.769,88.119,255,0,255,750,836,738.753,826.228,121
10,88074,126.294,88.458,255,0,255,990.500,835,993.041,799.861,128
