 ,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Median
1,9018,237.470,25.398,246,131,255,319,55.500,320.246,55.497,247
2,9252,137.074,79.220,254,0,255,635,56,634.143,53.184,108
3,3960,234.302,28.642,246,102,255,1010,56,1009.862,55.957,246
4,30132,79.294,47.766,81,9,252,634,90.500,634.070,89.481,71
5,3297,170.311,21.028,158,141,241,245.500,133.500,245.721,133.317,163
6,7525,230.271,34.765,254,87,255,955.500,132.500,953.856,132.086,249
7,7924,129.566,51.769,92,7,252,305.500,187,306.649,186.113,108
8,1428,122.430,59.490,94,9,254,1071,206.500,1067.558,206.519,94
9,3780,229.129,48.054,255,79,255,207,324.500,207.505,324.586,253
10,130845,105.869,91.778,255,0,255,725.500,322.500,700.103,341.484,79
11,9248,191.685,99.533,253,0,255,301.500,478,300.898,478.603,251
12,26312,210.524,68.074,255,7,255,207,666,208.776,677.621,252
13,243408,101.639,99.966,0,0,255,587,730.500,578.979,783.886,62
14,52080,223.610,67.794,255,0,255,987,556,989.175,556.099,253
15,65009,135.764,101.276,255,0,255,996.500,826.500,1001.919,839.945,129
16,17535,228.104,54.354,255,34,255,572.500,994.500,576.449,994.891,253
