 ,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Median
1,4932,207.037,47.677,249,10,255,227.500,27,228.293,26.691,231
2,460460,82.383,61.132,53,0,255,632.500,233,527.196,245.895,55
3,215418,222.065,51.974,243,0,255,637,542.500,634.955,542.476,242
4,107200,215.952,57.812,255,0,255,435,795,437.341,789.204,241
5,105216,196.471,75.368,255,0,255,833,795,830.474,792.390,237
6,30492,232.466,41.232,248,0,255,437,978.500,434.780,978.258,247
7,30996,193.190,72.090,245,0,255,839.500,982,849.202,984.657,244
