 ,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Median
1,20736,81.683,49.939,63,37,255,379,37,378.222,35.299,63
2,19918,126.193,84.237,63,35,255,893.500,40,901.750,39.762,63
3,22126,171.474,62.091,195,0,251,307.500,156,311.606,155.748,197
4,154435,191.735,66.120,238,0,255,396.500,374.500,379.998,374.977,221
5,122525,183.915,73.947,234,0,255,866.500,372.500,849.019,375.459,220
6,54292,223.140,52.953,247,0,255,324.500,750,324.664,748.601,247
7,54405,220.324,55.373,247,0,255,692.500,752.500,694.058,752.677,247
8,26884,227.471,48.267,247,0,255,993,725.500,994.910,725.374,247
9,19826,217.972,76.591,255,0,255,380.500,937,382.475,936.787,254
10,10050,224.913,67.620,255,0,255,948.500,934,948.176,934.852,254
