 ,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Median
1,21352,219.800,51.076,254,85,255,485,30,482.252,29.704,249
2,7335,181.728,91.969,254,0,255,1009.500,34.500,1010.859,34.218,243
3,144145,138.809,50.800,129,5,255,487.500,195.500,459.513,198.233,136
4,60775,207.417,67.820,255,0,255,956.500,195.500,962.321,200.343,251
5,31350,219.183,58.464,240,0,255,311.500,370,314.156,368.789,240
6,41088,239.813,42.753,255,0,255,780,348,781.220,347.388,254
7,42470,162.696,61.302,255,2,255,309,516.500,296.554,508.797,176
8,133980,230.249,55.701,255,0,255,779,499,784.378,499.180,253
9,35532,90.955,62.048,37,0,255,310,665,308.215,672.484,69
10,89376,232.571,51.419,255,0,255,657,734,659.107,734.031,254
11,56635,153.055,79.161,255,0,255,973.500,769.500,976.340,783.817,157
12,38760,115.378,83.678,0,0,255,310.500,805,345.187,800.664,87
13,37639,118.232,89.385,255,0,255,308.500,946.500,320.725,935.730,85
