 ,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Median
1,318143,175.324,70.553,222,0,255,635.500,165.500,637.341,167.432,205
2,288605,229.987,53.828,248,0,255,637.500,522.500,641.172,522.336,248
3,2275,207.921,57.997,252,91,255,240.500,739.500,240.451,739.689,246
4,61295,170.147,73.224,255,0,255,310.500,861.500,303.799,852.632,168
5,59584,159.170,78.943,255,0,255,633,858,635.141,855.393,172
6,59475,174.702,67.422,241,0,255,957.500,861.500,954.880,851.010,191
7,11026,112.401,71.012,0,0,255,308,1005.500,307.646,1004.671,107
8,9905,143.780,87.756,255,0,255,641.500,1006.500,660.428,1005.953,148
9,11285,152.250,89.663,255,0,255,958.500,1005.500,936.606,1004.947,163
