 ,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Median
1,12060,190.219,102.171,255,0,255,250,45.500,247.701,47.260,254
2,281232,105.977,66.675,32,0,255,460.500,316,462.641,300.902,101
3,140420,179.884,80.689,255,0,255,455,680,494.232,677.529,210
4,112308,143.457,104.577,255,0,255,443.500,922,515.749,919.245,143
5,151965,118.606,67.608,255,0,255,955.500,359.500,963.371,338.251,112
6,75110,151.283,104.693,255,0,255,943,748.500,976.247,737.513,177
7,36957,168.154,95.477,255,0,255,945.500,960.500,938.843,952.846,217
