 ,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Median
1,8418,204.385,67.557,255,13,255,204,52.500,204.599,52.133,252
2,364794,131.187,81.248,251,0,255,633,288.500,654.488,255.223,118
3,70432,175.102,91.223,255,0,255,256,699,256.017,720.619,227
4,70560,173.173,97.445,255,0,255,509,697,510.843,721.969,251
5,65793,164.177,91.401,255,0,255,760.500,694.500,765.081,717.146,161
6,64938,153.520,99.358,255,0,255,1005.500,697,1007.835,724.876,136
7,72861,234.472,55.915,255,0,255,360.500,933.500,364.857,933.891,255
8,65330,234.631,58.726,255,0,255,863,929.500,868.761,930.011,255
