 ,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Median
1,5799,153.297,53.184,12,6,253,186.500,67.500,186.547,64.921,138
2,48108,124.544,53.575,0,0,255,636,106,641.670,106.402,130
3,554412,150.771,57.828,160,0,255,632.500,410,644.791,412.549,162
4,72480,179.267,69.174,255,0,255,259,863,259.516,870.939,172
5,70560,168.263,95.161,255,0,255,509,864,504.675,871.716,210
6,65751,222.978,53.782,255,0,255,745.500,872.500,745.979,871.720,250
7,67424,179.598,63.463,255,0,255,1007,873.500,1005.000,880.857,187
